label	category	size	id
Righteousness	experience	5	209
Rigoletto	title	1	210
Robinson Crusoe	title	1	211
Roma	title	1	212
Sanskrit Rigveda	title	1	213
Sappho's Lyrics	title	2	214
Saturday	title	1	215
Second Look	technology	13	216
Second Method	technology	4	217
Secret Discloser	technology	3	218
Self-Acceptance	experience	10	219
Self-Affirmation	technology	1	220
Self-Efficacy	experience	1	221
Self-Irony	experience	11	222
Self-Love	experience	2	223
Self-Self-Affirmation	technology	1	224
Self-Trust	experience	2	225
Sense and Sensibility	title	1	226
Shame Reducer	technology	1	227
Sir Gawain and the Green Knight	title	1	228
Sister Carrie	title	1	229
Skepticism	experience	1	230
Slaughterhouse Five	title	1	231
So Long a Letter	title	1	232
Sober Uplift	experience	1	233
Soliloquy	technology	5	234
Soliloquy in a Soliloquy	technology	5	235
Sorrow Resolver	technology	5	236
Story in the Story	technology	3	237
Stream of Consciousness	technology	9	238
Stretch	technology	1	239
Superiority	experience	4	240
Superman	title	1	241
Suspended Judgment	experience	6	242
Suspense	technology	12	243
Test	title	1	244
The Adventures of Huckleberry Finn	title	1	245
The Age of Innocence	title	1	246
The Autobiography of Malcolm X	title	1	247
The Black Cat	title	1	248
The Blacks: A Clown Show	title	1	249
The Blue Fairy Book	title	1	250
The Book of Job	title	1	251
The Book of Nonsense	title	1	252
The Bridges of Madison County	title	1	253
The Calcutta Chromosome	title	1	254
The Canterbury Tales	title	1	255
The Castle of Otranto	title	1	256
The Children Act	title	1	257
The Cocktail Party	title	1	258
The Columbian Orator	title	1	259
The Crying of Lot 49	title	1	260
The Divine Comedy	title	1	261
The Early Diary (1768-1778)	title	1	262
The Epic of Sundiata	title	1	263
The Essence of Christianity	title	1	264
The Facetious Nights of Straparola (Adamantina and the Doll)	title	1	265
The Frogs	title	1	266
The Godfather	title	1	267
The Gold Rush	title	1	268
The Great Railway Bazaar: By Train Through Asia	title	1	269
The History of Love	title	1	270
The Hitchhiker's Guide to the Galaxy	title	1	271
The Iliad	title	2	272
The Intuitionist	title	1	273
The Kesh Temple Hymn	title	1	274
The Left Hand of Darkness	title	1	275
The Life of Jesus	title	1	276
The Marriage Plot	title	1	277
The Meditations of Marcus Aurelius	title	1	278
The Metamorphosis	title	1	279
The Mill on the Floss	title	1	280
The Murders in the Rue Morgue	title	1	281
The Redundancy of Courage	title	1	282
The Right Stuff	title	1	283
The Sandman	title	1	284
The Scarlet Letter	title	1	285
The Secret Diary of Adrian Mole, Aged 13 3/4	title	1	286
The Sorrows of Young Werther	title	2	287
The Sound and the Fury	title	1	288
The Story of Job (Ludlul bēl nēmeqi)	title	1	289
The String of Pearls	title	1	290
The Sun Also Rises	title	1	291
The Terror	title	1	292
The Thirty-Nine Steps	title	1	293
The Time Traveler's Wife	title	1	294
The Tragedy of Julius Caesar	title	1	295
The Trial	title	1	296
The Unbearable Lightness of Being	title	1	297
The Westcar Papyrus	title	1	298
The Wisdom of Ptahhotep	title	1	299
The Women's Room	title	1	300
The Year of Magical Thinking	title	1	301
The Yellow Wallpaper	title	1	302
Things Fall Apart	title	1	303
"Thinking ""What If?"""	experience	16	304
Thyestes	title	1	305
To Kill a Mockingbird	title	1	306
Togetherness	experience	1	307
Tom Jones	title	1	308
Total Recall	title	1	309
Toy Story	title	1	310
Tranquility	experience	7	311
Tristan und Isolde	title	1	312
Turn of the Screw	title	1	313
Twilight	title	1	314
Ubik	title	1	315
Ulysses	title	1	316
Untrustworthy Narrator	technology	1	317
Utopia	title	1	318
Varied Catalogue of Rhetorical Models	technology	1	319
Varney the Vampire	title	2	320
Veronica Mars	title	1	321
