QID	title	coordinates	genreLabel	countryOriginLabel	pubDate	long	lat
Q887192	Horse Feathers	Point(-98.5795 39.828175)	American football film	United States	1932-01-01	-98.5795	39.828175
Q887192	Horse Feathers	Point(-98.5795 39.828175)	parody film	United States	1932-01-01	-98.5795	39.828175
Q798227	The Sandman	Point(14.0 53.0)	high literature	Kingdom of Prussia	1817-01-01	14.0	53.0
Q798227	The Sandman	Point(10.0 51.0)	horror literature	Germany	1817-01-01	10.0	51.0
Q798227	The Sandman	Point(14.0 53.0)	horror literature	Kingdom of Prussia	1817-01-01	14.0	53.0
Q798227	The Sandman	Point(10.0 51.0)	high literature	Germany	1817-01-01	10.0	51.0
Q16155320	Broad City	Point(-98.5795 39.828175)	American television sitcom	United States		-98.5795	39.828175
Q16155320	Broad City	Point(-98.5795 39.828175)	LGBT-related television series	United States		-98.5795	39.828175
Q19863017	Crazy Ex-Girlfriend	Point(-98.5795 39.828175)	musical	United States		-98.5795	39.828175
Q19863017	Crazy Ex-Girlfriend	Point(-98.5795 39.828175)	romantic comedy	United States		-98.5795	39.828175
Q19863017	Crazy Ex-Girlfriend	Point(-98.5795 39.828175)	comedy drama	United States		-98.5795	39.828175
Q19863017	Crazy Ex-Girlfriend	Point(-98.5795 39.828175)	LGBT-related television series	United States		-98.5795	39.828175
Q966191	Miranda	Point(-2.0 54.6)	sitcom	United Kingdom		-2.0	54.6
Q189350	30 Rock	Point(-98.5795 39.828175)	satirical film or television program	United States		-98.5795	39.828175
Q189350	30 Rock	Point(-98.5795 39.828175)	sitcom	United States		-98.5795	39.828175
Q480	Don Quixote	Point(-3.5 40.2)	parody	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	adventure fiction	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	found manuscript	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	chivalric romance	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	parody	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	adventure fiction	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	found manuscript	Spain		-3.5	40.2
Q480	Don Quixote	Point(-3.5 40.2)	chivalric romance	Spain		-3.5	40.2
Q957323	Blazing Saddles	Point(-98.5795 39.828175)	Western film	United States	1974-01-01	-98.5795	39.828175
Q957323	Blazing Saddles	Point(-98.5795 39.828175)	comedy film	United States	1974-12-20	-98.5795	39.828175
Q957323	Blazing Saddles	Point(-98.5795 39.828175)	Western film	United States	1974-02-07	-98.5795	39.828175
Q957323	Blazing Saddles	Point(-98.5795 39.828175)	comedy film	United States	1974-01-01	-98.5795	39.828175
Q957323	Blazing Saddles	Point(-98.5795 39.828175)	Western film	United States	1974-12-20	-98.5795	39.828175
Q957323	Blazing Saddles	Point(-98.5795 39.828175)	comedy film	United States	1974-02-07	-98.5795	39.828175
Q181943	I Love Lucy	Point(-98.5795 39.828175)	American television sitcom	United States		-98.5795	39.828175
Q181943	I Love Lucy	Point(-98.5795 39.828175)	comedy television series	United States		-98.5795	39.828175
Q181943	I Love Lucy	Point(-98.5795 39.828175)	sitcom	United States		-98.5795	39.828175
Q181488	Gulliver's Travels	Point(-2.0 54.6)	fantasy	United Kingdom	1726-10-28	-2.0	54.6
Q181488	Gulliver's Travels	Point(-2.0 54.6)	dystopian fiction	United Kingdom	1726-10-28	-2.0	54.6
Q181488	Gulliver's Travels	Point(-2.0 54.6)	satire	United Kingdom	1726-10-28	-2.0	54.6
Q57270	Bioshock	Point(-98.5795 39.828175)	video game with LGBT character	United States	2007-08-21	-98.5795	39.828175
Q57270	Bioshock	Point(133.0 -25.0)	first-person shooter	Australia	2007-08-21	133.0	-25.0
Q57270	Bioshock	Point(-98.5795 39.828175)	first-person shooter	United States	2007-08-21	-98.5795	39.828175
Q57270	Bioshock	Point(133.0 -25.0)	science fiction video game	Australia	2007-08-21	133.0	-25.0
Q57270	Bioshock	Point(-98.5795 39.828175)	science fiction video game	United States	2007-08-21	-98.5795	39.828175
Q57270	Bioshock	Point(133.0 -25.0)	video game with LGBT character	Australia	2007-08-21	133.0	-25.0
Q7737904	The Great Railway Bazaar: By Train Through Asia	Point(-98.5795 39.828175)	travel literature	United States	1975-01-01	-98.5795	39.828175
Q2008211	The Left Hand of Darkness	Point(-98.5795 39.828175)	feminist science fiction	United States	1969-03-01	-98.5795	39.828175
Q2008211	The Left Hand of Darkness	Point(-98.5795 39.828175)	gay literature	United States	1969-03-01	-98.5795	39.828175
Q2008211	The Left Hand of Darkness	Point(-98.5795 39.828175)	science fiction	United States	1969-03-01	-98.5795	39.828175
Q2743569	An Apology for the Life of Mrs. Shamela Andrews	Point(-1.0 53.0)	parody	England	1741-01-01	-1.0	53.0
Q2743569	An Apology for the Life of Mrs. Shamela Andrews	Point(-1.0 53.0)	epistolary novel	England	1741-01-01	-1.0	53.0
Q248096	Tom Jones	Point(-1.0 53.0)	bildungsroman	England	1749-01-01	-1.0	53.0
Q248096	Tom Jones	Point(-1.0 53.0)	picaresque novel	England	1749-01-01	-1.0	53.0
Q1233830	New Atlantis	Point(-2.0 54.6)	utopian fiction	United Kingdom		-2.0	54.6
Q1233830	New Atlantis	Point(-2.0 54.6)	science fiction	United Kingdom		-2.0	54.6
Q1233830	New Atlantis	Point(-2.0 54.6)	philosophical fiction	United Kingdom		-2.0	54.6
Q1233830	New Atlantis	Point(-2.0 54.6)	fantasy	United Kingdom		-2.0	54.6
Q3163506	I Know Why the Caged Bird Sings	Point(-98.5795 39.828175)	autobiography	United States	1969-01-01	-98.5795	39.828175
Q3163506	I Know Why the Caged Bird Sings	Point(-98.5795 39.828175)	autobiographical novel	United States	1969-01-01	-98.5795	39.828175
Q963743	The Wisdom of Ptahhotep	Point(31.3 29.8)	wisdom literature	Ancient Egypt		31.3	29.8
